"clave","titulo","tipo","doi","url","pdf_local","estado"
"taule2021detoxis","Overview of DETOXIS at IberLEF 2021: DEtection of TOXicity in Comments in Spanish","article","10.26342/2021-67-18","https://journal.sepln.org/sepln/ojs/ojs/index.php/pln/article/view/6390","referencias_y_descargas/taule2021detoxis__taule_2021_detoxis.pdf","pdf_oa_validado"
"thakur2025quechua","Moderación de contenido en quechua en redes sociales","techreport","","https://cdt.org/wp-content/uploads/2025/06/2025-Quechua-Report-Spanish-final-1.pdf","","pdf_oa_descarga_bloqueada_403"
"tonneau2024naijahate","NaijaHate: Evaluating Hate Speech Detection on Nigerian Twitter Using Representative Data","inproceedings","10.18653/v1/2024.acl-long.488","https://aclanthology.org/2024.acl-long.488/","referencias_y_descargas/tonneau2024naijahate__tonneau_2024_naijahate.pdf","pdf_oa_validado"
"tsoumakas2007multilabel","Multi-Label Classification: An Overview","article","10.4018/jdwm.2007070101","https://doi.org/10.4018/jdwm.2007070101","referencias_y_descargas/tsoumakas2007multilabel__tsoumakas_2007_multilabel-overview.pdf","pdf_oa_validado"
"unicode2025normalization","Unicode Normalization Forms","techreport","","https://www.unicode.org/reports/tr15/tr15-57.html","","norma_web_oficial_sin_pdf"
"vaswani2017attention","Attention Is All You Need","inproceedings","","https://proceedings.neurips.cc/paper/7181-attention-is-all-you-need","referencias_y_descargas/vaswani2017attention__vaswani_2017_attention-is-all-you-need.pdf","pdf_oa_validado"
"vich2018dinamicas","Dinámicas de racismo en el Perú: la perspectiva cultural de Gonzalo Portocarrero","article","10.18800/debatesensociologia.201802.008","https://revistas.pucp.edu.pe/index.php/debatesensociologia/article/view/22090","referencias_y_descargas/vich2018dinamicas__vich_2018_dinamicas-racismo-peru.pdf","pdf_oa_validado"
"vidgen2020directions","Directions in Abusive Language Training Data, a Systematic Review: Garbage In, Garbage Out","article","10.1371/journal.pone.0243300","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0243300","referencias_y_descargas/vidgen2020directions__vidgen_2020_abusive-language-data-review.pdf","pdf_oa_validado"
"virtanen2020scipy","SciPy 1.0: Fundamental Algorithms for Scientific Computing in Python","article","10.1038/s41592-019-0686-2","https://doi.org/10.1038/s41592-019-0686-2","referencias_y_descargas/virtanen2020scipy__virtanen_2020_scipy.pdf","pdf_oa_validado"
"w3c2009skos","SKOS Simple Knowledge Organization System Reference","techreport","","https://www.w3.org/TR/skos-reference/","","norma_web_oficial_sin_pdf"
"w3c2012owl2","OWL 2 Web Ontology Language: Document Overview (Second Edition)","techreport","","https://www.w3.org/TR/owl2-overview/","","norma_web_oficial_sin_pdf"
"w3c2014turtle","RDF 1.1 Turtle: Terse RDF Triple Language","techreport","","https://www.w3.org/TR/turtle/","","norma_web_oficial_sin_pdf"
"wang2020minilm","MiniLM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers","inproceedings","","https://proceedings.neurips.cc/paper/2020/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html","referencias_y_descargas/wang2020minilm__wang_2020_minilm.pdf","pdf_oa_validado"
